,f1,f2,cor
161,android.permission.PACKAGE_USAGE_STATS,android.permission.ACCESS_DOWNLOAD_MANAGER,0.0
162,android.permission.PACKAGE_USAGE_STATS,android.permission.READ_PRIVILEGED_PHONE_STATE,0.0
163,android.permission.PACKAGE_USAGE_STATS,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,0.0
164,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,0.0
165,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.READ_PROFILE,0.0
166,android.permission.PACKAGE_USAGE_STATS,android.permission.USE_FULL_SCREEN_INTENT,0.0
167,android.permission.PACKAGE_USAGE_STATS,com.google.android.apps.wallpaper.NOTIFY_ROTATING_WALLPAPER_CHANGED,0.0
168,android.permission.PACKAGE_USAGE_STATS,android.permission.CAPTURE_AUDIO_OUTPUT,0.0
169,android.permission.PACKAGE_USAGE_STATS,android.permission.WRITE_SECURE_SETTINGS,0.0
170,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.CAPTURE_AUDIO_HOTWORD,0.0
171,android.permission.PACKAGE_USAGE_STATS,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,0.0
172,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.BROADCAST_NETWORK_PRIVILEGED,0.0
173,android.permission.BATTERY_STATS,android.software.app_widgets,0.0
174,android.permission.BATTERY_STATS,android.software.leanback,0.0
175,android.permission.BATTERY_STATS,android.software.sip,0.0
176,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.BIND_RESOLVER_RANKER_SERVICE,0.0
177,android.permission.PACKAGE_USAGE_STATS,android.permission.WRITE_SMS,0.0
178,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.MANAGE_ACCOUNTS,0.0
179,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.SYSTEM_ALERT_WINDOW,0.0
180,android.permission.ACCESS_NOTIFICATION_POLICY,android.permission.CONTROL_LOCATION_UPDATES,0.0
